iter,time,reward,steps,convergence
1,0.34616857700000025,-299.0,300.0,83.8935897024
2,0.653120408999996,-299.0,300.0,64.54686087513427
3,0.9602009259999988,-299.0,300.0,64.90671565307396
4,1.1871874200000008,-301.7,299.51,67.83331691562178
5,1.4574770970000017,-242.03,256.19,60.878454959382175
6,2.0851932989999966,-12.05,70.38,60.7014193803643
7,2.4713348159999953,6.75,55.1,58.70698194709867
8,2.610162388000006,0.29,55.57,57.51784761080688
9,2.758005923000013,5.16,55.18,44.63914207720892
10,2.912930474000021,14.05,62.34,39.26277213758527
11,3.0966996160000235,9.55,64.09,8.458157207062348
12,3.2813462630000316,7.32,64.33,6.964750719841577
13,3.4316659300000225,12.21,64.13,5.410413100370958
14,3.6108111870000243,13.47,62.87,3.5440549666275754
15,3.8618057760000255,10.72,62.75,1.536893765175165
16,3.9194168200000234,17.99,63.41,0.00029258457328573684
17,3.979495617000026,12.27,63.63,0.0001006207804259418
18,4.001349358000027,8.57,65.46,3.601798063357364e-05
19,4.035087944000026,9.09,63.12,1.3362076973777448e-05
20,4.063298767000035,10.22,63.29,5.113636195375193e-06
21,4.089784925000046,8.75,62.94,2.009632170896225e-06
22,4.111855009000038,16.43,62.18,8.077490267766052e-07
