iter,time,reward,steps,convergence
1,0.0008650250001664972,-309.78,300.0,90.12
2,0.0016646019998916017,-299.0,300.0,81.27982063571851
3,0.005111608999868622,-299.0,300.0,72.40774063571851
4,0.005921331000081409,-309.39,300.0,63.4821566357185
5,0.006723595000039495,-311.48,300.0,54.60215663571851
6,0.0075615010000547045,-353.91,300.0,45.73592112159078
7,0.0084345340001164,-304.4,300.0,36.4434441971518
8,0.00924292499985313,-442.51,300.0,27.555444197151797
9,0.010065535999729036,-342.83,300.0,18.825986690169618
10,0.010901843999818084,-330.53,300.0,10.076308220812843
11,0.011743378000119264,-311.27,300.0,10.06672422081284
12,0.012594272000569617,-316.18,300.0,9.205130959428761
13,0.013412383000741102,-307.75,300.0,9.18921095942876
14,0.014228189001187275,-301.43,300.0,8.442714959428761
15,0.015033298001071671,-353.22,300.0,8.032392268883726
16,0.015848412001105316,-392.64,300.0,8.01854778301146
17,0.016645926001274347,-437.09,298.9,7.518153970299137
18,0.01744005100135837,-558.0,298.64,7.263634938683988
19,0.01823265900111437,-404.15,300.0,6.163973738909784
20,0.019010155001069506,-390.81,300.0,6.027296786013855
21,0.01982119800095461,-336.95,300.0,5.236880786013856
22,0.020669802001066273,-359.07,300.0,5.854653411679426
23,0.023534143001143093,-597.14,300.0,5.7101161942281085
24,0.024375130000862555,-421.53,300.0,6.502116194228108
25,0.02527950900093856,-617.99,300.0,6.470700121526225
26,0.026080203000674373,-320.29,300.0,5.960749430826425
27,0.026924648000658635,-315.13,300.0,6.421866566672426
28,0.027711269000974426,-335.3,300.0,6.485370284279813
29,0.028505340000720025,-351.43,300.0,7.573564439336463
30,0.029309505000583158,-458.74,300.0,7.538376264728228
31,0.03009061400052815,-477.61,300.0,7.483546008068852
32,0.030882886000199505,-307.28,300.0,7.302457452343039
33,0.03173178500037466,-375.24,300.0,7.493151721867503
34,0.032570204000421654,-419.08,300.0,7.462374153914617
35,0.03336188800039963,-410.87,298.91,7.437037171299932
36,0.03392101800045566,-517.7,298.59,7.105667615721002
37,0.034715804000370554,-348.09,300.0,6.7429700170263
38,0.03559700000050725,-515.7,299.7,6.653210889819884
39,0.03640102800045497,-393.69,298.95,6.555833941389572
40,0.03955563100043946,-437.2,300.0,6.52829385263411
41,0.04035089700073513,-471.01,297.13,6.5739112643021915
42,0.0411918720005815,-398.8,298.1,6.122919820028005
43,0.04193825200036372,-364.84,300.0,5.17600016207957
44,0.04279159600037019,-371.64,300.0,5.011153705545098
45,0.043593754000539775,-401.08,300.0,4.680109952090038
46,0.0443761870005801,-504.42,300.0,5.200286242076311
47,0.04515809500071555,-496.94,300.0,5.721466714489358
48,0.04594848000078855,-395.86,299.3,5.874008006197915
49,0.046485512000799645,-336.85,300.0,4.960458812680134
50,0.04730808600106684,-428.25,297.51,4.94815571969438
51,0.048170111001127225,-331.27,300.0,5.770116818376471
52,0.04906677200096965,-325.4,300.0,6.334356561828472
53,0.049860831000842154,-320.51,300.0,7.026964303028845
54,0.05069621100074073,-431.77,300.0,6.291237834316563
55,0.051523610000458575,-400.2,300.0,6.321748993683042
56,0.05231545200012988,-349.98,299.07,6.161525811991797
57,0.0531121260000873,-341.33,300.0,6.651357926872706
58,0.05390520999981163,-350.65,297.62,5.841365476370141
59,0.05478891599977942,-337.88,299.72,5.921677143083835
60,0.057889117999366135,-346.28,300.0,5.0659770660915715
61,0.05868283099925975,-371.92,298.23,4.291391452100488
62,0.05946418099938455,-427.17,299.31,3.768501278726867
63,0.06022940399907384,-357.7,295.85,4.279323527536783
64,0.06102310999904148,-310.14,300.0,4.959209666882772
65,0.06189104699888048,-361.58,300.0,4.974870143760702
66,0.06268943499890156,-326.12,300.0,4.750417700226634
67,0.06360501099879912,-352.95,300.0,4.433365588403441
68,0.06468488999871624,-486.98,298.43,4.5313637761834045
69,0.06587898299858352,-337.32,300.0,4.980528983488618
70,0.06641024099872084,-337.17,300.0,5.650494636141795
71,0.06729196799869896,-308.2,300.0,6.041357367904467
72,0.06810009799846739,-345.88,300.0,6.427267391764467
73,0.06895303099872763,-377.83,300.0,5.856903546090967
74,0.06978374199843529,-370.65,300.0,5.7193734622865335
75,0.07061198999872431,-363.24,300.0,6.561375804944454
76,0.07106798699851424,-338.28,300.0,7.128346626310022
77,0.0719432599985339,-516.32,300.0,7.1989144800956995
78,0.07292290599843909,-350.58,300.0,7.235916557297297
79,0.07419552499868587,-516.71,299.91,7.051435564612615
80,0.07501128599869844,-398.73,300.0,7.183286084962896
