iter,time,reward,steps,convergence
1,0.152306089,-306.0,300.0,83.8967521584
2,0.2523928369999995,-299.49,300.0,62.92258233067285
3,0.32177439099999994,-299.98,300.0,40.84734400396159
4,0.388236126999999,-299.49,300.0,34.49456598429516
5,0.4629726939999994,-299.49,300.0,28.616987277225142
6,0.5590298359999988,-299.49,300.0,26.407638575092363
7,0.6005586339999986,-299.0,300.0,23.0355135362759
8,0.6310399929999981,-299.49,300.0,19.797965802347402
9,0.6634696099999964,-299.98,300.0,18.572411192311623
10,0.6939507179999964,-299.0,300.0,14.251210013940824
11,0.7189490449999951,-299.49,300.0,13.211788741506364
12,0.7455029109999955,-299.0,300.0,12.113437778868954
13,0.7727581659999956,-299.78,300.0,10.694214999931182
14,0.8258486669999954,-298.56,299.7,10.161831193844922
15,0.8536242559999963,-299.29,300.0,9.116661937440849
16,0.8799371919999963,-300.07,300.0,8.847169892757632
17,0.9162084009999951,-293.47,297.62,7.833173309722836
18,0.9427292039999919,-291.64,295.16,7.109570510281337
19,0.9700411529999897,-261.97,276.73,5.970213785194572
20,0.9970640709999898,-259.26,274.82,4.733049388620099
21,1.025966985999986,-163.41,206.26,4.026751783869879
22,1.0533451079999807,-158.52,209.33,3.454845681236825
23,1.0809884109999786,14.35,63.3,3.0869329166451553
24,1.1104325089999776,13.64,63.99,2.9452206556619167
25,1.2131816279999796,7.26,63.81,2.768256729138086
26,1.2955091429999825,9.08,64.67,2.348787702091011
27,1.3219184999999811,11.13,61.77,1.9235590909643037
28,1.349156387999983,11.84,61.92,1.8761668551001325
29,1.3762987089999896,13.41,62.34,1.6808840575334987
30,1.4141423699999933,18.78,62.64,1.419811430689757
31,1.443398529999989,12.23,62.63,1.1338133924068394
32,1.4754640009999918,16.3,62.25,0.867853461262218
33,1.5074797459999942,14.76,62.43,0.6427860977881501
34,1.5336823279999905,12.21,64.17,0.463811365325304
35,1.5600638399999909,17.02,62.62,0.3276741089279973
36,1.5876232709999911,14.05,63.86,0.22748957783303148
37,1.640685132999991,13.41,63.19,0.15562929016348903
38,1.6689118739999955,15.91,62.73,0.10517043445211804
39,1.700275082999994,7.57,63.1,0.07036917616410499
40,1.7252743859999953,11.62,64.52,0.046705829154934264
41,1.7514839219999985,12.52,62.32,0.0307813188187378
42,1.7795270530000025,17.34,63.5,0.020142921187966678
43,1.820503581000004,12.2,63.11,0.013077773476046772
44,1.8811370630000042,15.63,62.29,0.008414302838554377
45,1.9092484600000006,8.98,64.38,0.005358871436071055
46,1.9404792380000018,6.2,65.11,0.0033752198937904154
47,1.9711271779999961,12.27,64.41,0.0021011390755880655
48,2.004640579999993,10.5,63.75,0.0012924975677677253
49,2.0524358559999953,13.03,62.93,0.0007856882391781284
50,2.1047477089999944,13.81,62.83,0.0004721010212698218
51,2.134664976999993,5.44,65.79,0.0002805232927514112
52,2.1703940479999915,14.3,63.84,0.00016492261933898078
53,2.195717082999998,12.14,63.32,9.598909125330124e-05
54,2.2223623000000003,4.95,64.07,5.534258771966449e-05
55,2.2851106780000023,7.46,63.34,3.1627349164509155e-05
56,2.314034196999998,17.92,61.95,1.7926723971939396e-05
57,2.3417937839999965,10.87,62.62,1.0084154027367731e-05
58,2.368880136999998,11.07,62.68,5.632996185056527e-06
59,2.393164352999996,16.77,62.28,3.1264925102192365e-06
60,2.4186984029999934,13.12,63.84,1.7252257649147396e-06
61,2.474112833999989,11.45,63.58,9.470109763043411e-07
