iter,time,reward,steps,shape
2,0.037031762000000024,98.46,3.54,2
2,0.07647935899999991,95.77,6.23,3
3,0.11118550500000013,93.37,8.63,4
3,0.15114994699999995,90.89,11.11,5
3,0.19491722199999995,85.44,16.56,7
4,0.3509681960000002,77.25,24.75,10
6,0.9304804440000005,63.24,38.76,15
7,2.0570331609999997,50.18,51.82,20
8,3.531418263999999,37.15,64.85,25
8,4.963228536999999,23.59,78.41,30
10,8.928447070000004,10.09,91.91,35
11,14.073945749000004,-4.84,106.84,40
13,32.09901732499998,-32.32,134.32,50
