iter,time,reward,steps,convergence
1,0.08289909500000014,-195.9,195.42,79.8
2,0.12893362500000016,-56.86,83.34,50.398664557511154
3,0.2046826089999989,32.76,25.16,44.641514542876116
4,0.2712649729999992,34.36,25.3,44.412250086613994
5,0.3518172739999983,39.84,25.04,29.41682743280993
6,0.4745210829999973,36.42,25.56,24.670600912486563
7,0.5722437309999968,37.98,25.74,22.305018379875243
8,0.6403432829999964,33.86,25.8,19.943256268328525
9,0.709800385999996,30.62,26.14,17.49087973569015
10,0.784295955999994,37.64,25.5,13.677349331140315
11,0.8471184499999929,33.92,25.16,11.905957122683613
12,0.9097355259999951,39.12,25.18,9.698803980574077
13,0.976725659999996,37.14,25.42,7.491423627213319
14,1.0663276539999966,34.66,27.9,5.285507940301937
15,1.120051539999995,45.64,48.14,3.0804878475893744
16,1.1685616569999944,50.62,47.9,0.8761890505503054
17,1.1933751109999946,48.44,48.56,0.0010072143597064098
18,1.2062543689999963,47.28,48.6,0.0008973598392643112
19,1.2204642849999985,46.94,48.5,0.0008643597492081767
20,1.2340052640000003,46.2,47.54,0.0008285247912063198
21,1.2482369510000026,45.94,47.62,0.0007595391339165758
22,1.2624503700000034,47.14,50.08,0.0007053058244075316
23,1.2832041650000043,41.36,49.04,0.0006004135261825638
24,1.2933662860000048,47.56,46.22,0.0004733924691429081
25,1.3014793040000043,47.24,48.6,0.00035001911619048087
26,1.317048290000006,48.24,47.02,0.0002451394877134305
27,1.329905525000008,47.68,46.02,0.00016397244289834134
28,1.3465427450000078,47.02,49.4,0.0001055054339396122
29,1.3544123400000103,47.1,50.12,6.575957587173775e-05
30,1.3637957830000076,49.04,47.38,4.003651829975752e-05
31,1.3808840160000067,46.94,48.8,2.4107199600109652e-05
32,1.403158818000005,48.22,49.8,1.4646205393376022e-05
33,1.4235374000000043,43.62,49.54,9.249106536657337e-06
34,1.4298718320000035,46.44,47.52,6.277614573946266e-06
35,1.4419707810000055,49.72,46.7,4.669170724724836e-06
36,1.4548805000000051,47.66,46.88,3.7688377396705164e-06
37,1.4691249080000048,45.52,48.3,3.198213665456251e-06
38,1.4936033810000033,46.26,50.56,2.758548447445719e-06
39,1.514522428000003,44.54,46.7,2.361134757933314e-06
40,1.516552671000003,50.82,49.52,1.97880483199242e-06
41,1.5347902120000008,48.9,47.34,1.6138028477996613e-06
42,1.5474297690000007,48.12,47.54,1.2781950999851688e-06
43,1.5563191369999991,43.9,49.08,9.834326135660376e-07
