iter,time,reward,steps,convergence
1,0.0009596160000029386,-253.56,184.8,89.97
2,0.0014945779999990805,-312.04,190.82,81.22805728535087
3,0.004712529999999049,-246.56,200.0,72.61006933720788
4,0.007521664999998734,-197.04,197.84,63.93667160101872
5,0.00828444900000136,-200.26,199.22,54.45222825846058
6,0.009047158000001332,-191.14,191.04,48.752228258460576
7,0.009903274000002682,-190.86,192.8,44.85222825846058
8,0.010943905000004861,-202.08,200.0,35.2747461316862
9,0.014431016999999713,-202.34,198.4,27.49755154365969
10,0.014743318999997257,-202.48,200.0,17.652138542340296
11,0.01524753099999998,-198.12,197.66,16.820368396871988
12,0.016019286999998883,-199.48,199.02,15.681160471706296
13,0.019382833999998184,-202.48,200.0,14.550300653463404
14,0.020143591999996602,-199.6,199.14,14.12467845391716
15,0.02091728599999243,-195.74,195.84,13.710716402115684
16,0.021664147999992167,-199.0,200.0,9.511640054357306
17,0.022475249999992286,-193.46,196.18,3.581666381602575
18,0.02323889699999171,-195.68,196.66,3.259412162928629
19,0.023991167999987795,-198.2,198.9,1.1367814083534598
20,0.024750749999988386,-201.9,200.0,1.0823107649806771
21,0.030329071999986468,-198.06,197.6,5.2440809104489885
22,0.03113639299998283,-196.04,198.48,5.225393859949149
23,0.03193374299998197,-188.1,194.28,5.123465958533023
24,0.03517685099998147,-195.1,196.96,4.331433348228373
25,0.035952470999980335,-192.0,194.7,4.3298888726769835
26,0.03672507499997835,-199.58,200.0,4.328976439374438
27,0.03751664599997895,-197.06,198.34,4.259237153421255
28,0.03837686799997897,-196.1,197.66,5.29736252231213
29,0.039181417999976986,-200.2,198.58,5.515252970583758
30,0.039958793999979036,-200.16,200.0,5.621668369688545
31,0.043806894999981694,-193.84,195.98,1.9315577757394167
32,0.044590670999980375,-199.58,200.0,1.9491932114299473
33,0.045446683999976756,-199.58,200.0,1.9124273483866632
34,0.04622181399997771,-198.1,197.06,1.9095662527659827
35,0.04698019299997469,-200.74,200.0,1.9124984485607612
36,0.047738295999977254,-203.06,200.0,1.9618863809811047
37,0.04849960499997508,-196.06,198.2,1.9621951073273223
38,0.04926940599997209,-196.32,198.18,0.9242297362014285
39,0.05006508799996823,-200.74,200.0,1.2500200443748284
40,0.05084747799996592,-167.86,178.02,4.49247069521037
41,0.05097615399996158,-180.34,188.54,4.283353810258143
42,0.053152642999961586,-185.56,191.16,4.412939381804879
43,0.057928791999962925,-190.68,194.26,4.472483126694282
44,0.058690596999959155,-192.02,195.9,4.50167913393531
45,0.059463409999956696,-185.88,188.58,4.515985505983009
46,0.0602222609999572,-166.96,177.46,6.618119534981287
47,0.060336244999959376,-184.52,189.84,7.100563252737072
48,0.06329575899995632,-187.44,190.44,7.336829051301725
49,0.06407353799995974,-188.12,193.44,6.908951563808945
50,0.06483449199996016,-175.84,183.46,3.5810160237860345
51,0.06564180099995554,-165.68,176.18,3.2906377766853323
52,0.06641027499996,-171.34,180.4,8.287204691017644
53,0.09071155399995945,-174.8,182.12,8.410792409740427
54,0.09154118599995797,-182.22,188.4,8.442922089260074
55,0.09232749599995316,-175.14,183.34,8.458783282270865
56,0.09723005299995435,-186.36,190.52,6.323649856778119
57,0.09798957999995395,-176.44,184.64,5.848697616612808
58,0.09882209999995695,-184.32,188.18,5.615988690646758
59,0.09962386799995926,-185.34,190.66,5.502866002618045
60,0.10047391999995625,-186.36,191.1,7.232511848298425
61,0.10130576299995653,-176.5,183.54,7.3554846647074115
62,0.1020631779999519,-183.54,187.98,2.803682473103856
63,0.10285852799994899,-195.12,196.4,3.9194317117546533
64,0.10362300799994273,-189.42,193.3,4.061182825803064
65,0.10369610999993739,-180.06,185.66,4.174447790602419
66,0.10449475399993702,-189.68,192.98,4.4500019208016734
67,0.10525229199993902,-174.0,181.9,4.466523427329922
68,0.10600667599993585,-180.08,185.78,5.331160719612198
69,0.10677378999993437,-190.2,192.92,5.344366397706821
70,0.10755878299993782,-118.46,140.16,4.740316940089982
71,0.10831593899994374,-98.82,128.6,4.727999334830001
72,0.10846385299994665,-159.32,171.24,4.482348724249118
73,0.10923664699994617,-157.08,171.32,3.4531957895693153
74,0.10999150599995033,-148.46,163.56,3.2794954464784807
75,0.11075222499994908,-165.02,175.22,3.172615660602888
76,0.11150070699994785,-194.54,196.4,3.0979520316439846
77,0.11225772899994979,-156.38,167.14,3.098298882885848
78,0.11302422199995021,-158.54,170.18,2.2307962279661098
79,0.11384606799994401,-176.52,182.98,2.2157023715379465
80,0.11461754599994833,-157.78,171.16,1.2255520977230276
81,0.11537291899994528,-186.34,189.92,1.114589029635674
82,0.11616044899994193,-191.16,192.42,0.7684796003964166
83,0.11692559599994468,-49.28,88.8,1.6152178001709856
84,0.11768973599994581,-6.62,62.28,6.8108943860661615
85,0.11844888199994585,-179.94,186.12,7.524861579230422
86,0.11921663699994411,-194.06,196.5,7.530092500724857
87,0.11997148899994414,-180.82,185.84,7.6146361339898005
88,0.12072634899994483,-159.98,171.92,7.667474435596681
89,0.12079496699994507,-192.08,193.06,7.966171175728502
90,0.12154831699994162,-174.96,182.58,7.956662939356173
91,0.12235785299994006,-186.0,189.58,7.996876636432863
92,0.12311899199993803,-174.34,182.54,9.04943112572136
