iter,time,reward,steps,convergence
1,0.02432065,-201.1,199.36,79.8
2,0.03934524699999986,-200.36,198.74,49.00468320000001
3,0.04634170499999968,-191.0,193.42,29.6911861855488
4,0.07293161999999986,-157.46,164.14,27.991224734732356
5,0.07945575599999977,-151.44,163.62,24.035249924326934
6,0.10891372499999985,-18.14,41.64,19.35423499028702
7,0.13072645399999994,-13.86,44.06,18.873087686238232
8,0.1466552160000001,4.24,24.28,16.835688219760794
9,0.17067240500000036,0.6,25.18,15.509284745936105
10,0.20347127100000018,-5.7,26.54,14.87228983510489
11,0.2207098080000005,3.42,25.66,14.473606479786689
12,0.2399678320000005,6.8,25.28,13.113154562521256
13,0.26221993000000055,0.3,25.42,12.25904432213023
14,0.2834564650000009,-0.06,25.56,11.869027261212509
15,0.3083909110000014,6.84,25.64,11.180073317294248
16,0.3315622270000018,1.14,25.64,10.109993068231478
17,0.3472440970000017,36.98,25.26,9.255362296753686
18,0.38872378200000224,36.7,26.44,8.316361517146806
19,0.41812926900000225,30.86,25.9,6.835620539119066
20,0.4415519190000028,28.2,25.08,6.686078672874029
21,0.46237285600000355,40.82,25.8,5.6058510232788095
22,0.47838564300000286,37.28,25.28,5.450634181423947
23,0.49832710900000254,40.26,25.2,4.561503978816766
24,0.5216960550000023,35.34,26.06,4.236180290382357
25,0.544475171000002,30.98,25.78,3.77129870249275
26,0.5609224200000016,41.16,24.88,3.573159181821392
27,0.5687078300000019,28.22,26.8,3.2603775097007563
28,0.5891441270000017,31.56,26.36,3.052377672413659
29,0.5999720030000022,38.82,26.06,2.5839825015656324
30,0.6200515570000027,28.14,26.88,2.2032495516013046
31,0.6424255600000031,39.84,25.62,1.9813177170113008
32,0.659858049000003,36.3,26.84,1.6419144430742953
33,0.6852895330000033,38.58,26.88,1.244527328500567
34,0.7070206940000032,38.22,26.66,1.0396172855669654
35,0.7209761760000033,36.24,26.9,0.8830450169164656
36,0.740058796000004,39.1,25.78,0.6495173155547711
37,0.7686724230000035,44.98,49.74,0.4480506650559839
38,0.7939754900000029,47.36,49.06,0.35835619909634175
39,0.8133752150000024,48.9,48.72,0.30038248321548267
40,0.8390160920000023,46.34,48.02,0.20917298487301395
41,0.8608321580000027,45.2,47.38,0.1362436367333899
42,0.8865030780000032,50.3,48.84,0.08545156393268627
43,0.9076659710000037,47.96,46.58,0.052173126080571564
44,0.9330653640000026,46.14,49.16,0.031177832370843817
45,0.9479779820000038,46.3,47.8,0.018300689536655312
46,0.9693957950000032,45.72,49.58,0.01058880898788317
47,0.9909661810000028,45.8,49.24,0.006070066652565487
48,1.0065728300000023,49.68,47.58,0.0034890650801671086
49,1.0430053960000034,42.22,49.42,0.0020764481303992
50,1.0594035210000037,44.24,49.68,0.0013615464644871622
51,1.0707812180000023,46.66,46.9,0.001044267322839687
52,1.0929775650000035,43.24,49.96,0.0009519770443766618
53,1.115567914000005,44.08,48.28,0.0009070675234426062
54,1.1226851140000047,46.5,47.6,0.000839726054611134
55,1.1373518260000033,48.02,46.12,0.0007723003232484871
56,1.1539902390000023,40.92,47.02,0.0006775820835684954
57,1.1619952010000016,47.3,45.1,0.0005664762588217798
58,1.1794587120000024,43.3,49.28,0.00045269327987185193
59,1.2002509590000034,42.28,49.0,0.0003473323573786047
60,1.2042087030000044,48.22,49.4,0.0002570323503796601
61,1.226003978000005,43.46,47.74,0.00018426415947914165
62,1.2449927530000053,46.38,48.16,0.00012852154299025642
63,1.260323636000006,47.16,48.72,8.761471338303295e-05
64,1.2754655960000054,51.16,46.64,5.8693178900171006e-05
65,1.2928134420000053,48.88,47.32,3.8906845624353537e-05
66,1.307761636000004,49.34,49.8,2.5755896885470975e-05
67,1.3351650670000037,46.18,50.24,1.72240574087823e-05
68,1.3559664900000037,48.34,48.52,1.1783412404042792e-05
69,1.3770419450000038,47.88,47.6,8.33506371122894e-06
70,1.395109781000004,48.88,46.96,6.125952161539772e-06
71,1.4094093310000027,45.84,46.38,4.664336074711173e-06
72,1.4213879430000027,44.3,47.92,3.6450014810895937e-06
73,1.4341254150000022,49.16,48.2,2.88858118935309e-06
74,1.4595432780000017,48.86,46.62,2.2956063219226053e-06
75,1.4800225510000011,44.46,48.56,1.813899331182256e-06
76,1.5046947080000024,46.18,48.18,1.4169577156053492e-06
77,1.529670075000002,46.48,49.0,1.090696049033113e-06
78,1.5443936070000017,48.54,48.06,8.260688417749407e-07
