iter,time,reward,steps,convergence
1,0.0008783929999935935,-651.41,299.72,90.11564
2,0.0016659500000031358,-513.22,299.05,81.350872
3,0.0024099960000114606,-494.53,300.0,71.45087199999999
4,0.006155668000005221,-530.63,300.0,62.660956416
5,0.007413218000010602,-561.3,299.69,53.855796416
6,0.008204045000013593,-477.35,300.0,43.99418206998354
7,0.008988702000010562,-300.74,300.0,34.186982069983536
8,0.011814718000010771,-304.35,300.0,24.287546532485955
9,0.012624898000012763,-306.6,300.0,14.388369348413457
10,0.013478825000007078,-299.0,300.0,4.488369767032286
11,0.014255329000008032,-299.0,300.0,3.472730034415851
12,0.015025723999997354,-299.0,300.0,2.337499439577796
13,0.01576979499999709,-299.0,300.0,2.3375015501396774
14,0.016682810999995468,-299.0,300.0,1.2274172123607556
15,0.024572075999984122,-299.0,300.0,0.13257802788808562
