iter,time,reward,steps,shape
105,0.07323956200000004,98.36,3.64,2
198,0.09637041999999996,95.84,6.16,3
315,0.139848113,92.73,9.27,4
487,0.17688523200000006,90.39,11.61,5
590,0.28226368300000004,84.57,17.43,7
913,0.46538655599999945,76.85,25.15,10
1744,0.8380999550000006,63.48,38.52,15
2069,1.3479613480000001,49.71,52.29,20
2938,2.366582775999998,35.28,66.72,25
3686,3.3906197059999954,21.34,80.66,30
17,0.6615182740000023,-3798.35,3816.52,35
5849,9.694136248000007,-5.21,107.21,40
19,0.5825533029999974,-3992.17,3994.18,50
