Date,Open,High,Low,Close,Volume,Adj Close
1998-01-02,104.5,105.75,104.06,105.62,2635000,35.7909
1998-01-05,105.56,106.81,105.0,106.44,5017000,36.0688
1998-01-06,105.37,107.19,105.06,105.25,3555600,35.6656
1998-01-07,105.0,105.0,102.62,104.25,4308200,35.3267
1998-01-08,103.5,105.5,102.94,104.19,4059400,35.3064
1998-01-09,104.31,104.87,99.37,100.06,7182800,33.9069
1998-01-12,98.25,101.12,97.5,100.12,6410700,33.9272
1998-01-13,100.56,102.44,100.31,102.12,3414500,34.6049
1998-01-14,103.5,104.0,101.25,102.62,4275400,34.7744
1998-01-15,103.19,104.94,102.37,103.44,6321700,35.0522
1998-01-16,104.87,105.19,104.5,105.0,4189100,35.5809
1998-01-20,105.19,108.37,104.69,108.37,4970600,36.7228
1998-01-21,100.25,102.0,99.62,100.12,13907800,33.9272
1998-01-22,99.81,100.62,98.5,99.37,6583500,33.673
1998-01-23,99.81,100.0,98.94,99.19,3911500,33.612
1998-01-26,99.25,99.94,98.0,98.12,2807900,33.2495
1998-01-27,96.75,97.87,95.62,96.5,7019700,32.7005
1998-01-28,97.12,98.0,96.5,97.0,5192400,32.8699
1998-01-29,97.0,99.31,97.0,98.19,4413600,33.2732
1998-01-30,98.31,99.56,98.0,98.75,2900100,33.4629
1998-02-02,100.0,101.25,100.0,100.56,3437700,34.0763
1998-02-03,100.12,100.25,98.69,99.37,3585600,33.673
1998-02-04,99.12,99.81,98.06,98.31,4284300,33.3138
1998-02-05,99.12,99.56,98.37,99.56,3776700,33.7374
1998-02-06,99.12,99.62,97.75,98.0,4082500,33.2766
1998-02-09,98.12,99.62,98.0,98.0,3448400,33.2766
1998-02-10,98.06,102.44,97.5,100.87,8164300,34.2511
1998-02-11,101.62,103.25,101.5,102.69,4207500,34.8691
1998-02-12,101.87,103.25,101.56,102.87,3626800,34.9302
1998-02-13,102.69,103.62,102.37,102.37,2244100,34.7604
1998-02-17,103.06,103.69,101.5,102.0,3831800,34.6348
1998-02-18,102.0,103.62,101.31,102.75,3252300,34.8895
1998-02-19,103.0,104.62,102.75,102.75,4276700,34.8895
1998-02-20,103.0,103.44,101.56,102.62,3750800,34.8453
1998-02-23,103.44,103.94,102.81,102.87,2626000,34.9302
1998-02-24,102.62,102.87,101.75,102.5,2572400,34.8046
1998-02-25,102.56,105.25,102.5,105.25,3848100,35.7384
1998-02-26,104.75,105.87,104.31,105.5,3214800,35.8232
1998-02-27,104.81,105.62,103.87,104.44,2945200,35.4633
1998-03-02,104.19,104.56,100.0,101.94,3490200,34.6144
1998-03-03,100.0,102.5,99.81,102.12,3970200,34.6755
1998-03-04,102.0,103.31,99.0,99.0,3007000,33.6161
1998-03-05,100.19,100.37,98.31,98.94,5362000,33.5958
1998-03-06,99.12,99.81,98.12,98.12,5205100,33.3173
1998-03-09,97.12,98.25,95.87,96.12,6464200,32.6382
1998-03-10,97.37,98.19,96.69,97.5,4167100,33.1068
1998-03-11,97.87,99.87,97.44,99.12,3403400,33.6569
1998-03-12,99.19,100.62,98.19,100.25,2951700,34.0406
1998-03-13,100.87,101.12,99.0,99.62,2925300,33.8267
1998-03-16,99.69,101.37,99.25,101.25,3421200,34.3801
1998-03-17,101.31,101.81,99.56,100.87,3585100,34.2511
1998-03-18,100.62,102.31,100.56,101.56,3594700,34.4854
1998-03-19,101.69,103.0,101.44,102.87,2585000,34.9302
1998-03-20,103.0,103.25,101.44,102.06,4107800,34.6552
1998-03-23,101.56,103.37,101.37,101.37,3096800,34.4209
1998-03-24,102.25,103.69,102.12,103.5,2403700,35.1441
1998-03-25,105.0,106.69,104.87,106.0,6745200,35.993
1998-03-26,105.87,106.62,105.0,105.06,2856700,35.6738
1998-03-27,105.25,105.5,103.87,104.37,2830700,35.4395
1998-03-30,104.12,104.87,102.5,103.25,1913700,35.0592
1998-03-31,104.0,104.94,103.37,103.87,2538500,35.2698
1998-04-01,103.87,104.87,103.31,104.44,2639800,35.4633
1998-04-02,104.31,106.69,104.0,105.81,3601300,35.9285
1998-04-03,105.62,106.37,103.94,104.69,3106200,35.5482
